1, What is your Name?, Mousam, Nirmal, Abhishek, None of these, 1
2, In Which college do you study?, IIPS, IET, Medi-Caps, None of these, 3
3, Do you like walkover?, YES, NO, Can't Say, Somewhat, 3
4, In which technology did you develop this project?, Flask, Django, MERN, PHP, 1
5, Where do you live?, Mumbai, Pune, Indore, None of these, 3
6, Walkover University Program was for how many weeks?, 1 Week, 2 Weeks, 5 Weeks, 10 Weeks, 3
7, What was not in the curriculam of the training?, Cloud, DBMS, Git, Machine Learning, 4
8, What is the capital city of Madhya Pradesh?, Indore, Bhopal, Bhind, Murena, 2
9, What's so famous about Indore?, Food, Walkover, DAVV, Medi-Caps, 1
10, Which one is the best college of Indore?, IIPS, IET, Medi-Caps, None of these, 4
